zipcode,latitude,longitude,room_type,accommodates,bedrooms,price,review_scores_value
1011 BT,52.37546123,4.903355097,Private room,2,1.0,140,70.0
1074,52.35344787,4.9049094,Entire home/apt,2,1.0,125,100.0
,52.3560779,4.89431202,Entire home/apt,10,2.0,110,80.0
1073,52.35671266,4.896654851,Entire home/apt,5,1.0,69,80.0
1053,52.36569976,4.863003632,Private room,2,1.0,104,90.0
1073,52.35223426,4.896592041,Entire home/apt,4,2.0,165,90.0
1082 HG,52.32681511,4.877215791,Entire home/apt,2,1.0,72,
1091 EJ,52.35313988,4.910610198,Entire home/apt,4,2.0,210,100.0
1051,52.38301244,4.868848303,Entire home/apt,2,1.0,100,90.0
1016,52.37261939,4.88215053,Private room,2,1.0,125,80.0
1094 JC,52.36436329,4.93240081,Entire home/apt,4,2.0,98,90.0
1075,52.35637467,4.865793029,Entire home/apt,2,1.0,115,90.0
1082 XE,52.328358,4.871636571,Private room,2,1.0,59,90.0
1053,52.36453926,4.863021158,Entire home/apt,4,1.0,69,90.0
1054WB,52.36005452,4.867006781,Entire home/apt,4,2.0,105,100.0
1093,52.36213391,4.92532278,Entire home/apt,2,1.0,120,90.0
,52.36083904,4.881782238,Entire home/apt,2,1.0,168,90.0
1017 TP,52.36070341,4.889884751,Entire home/apt,5,3.0,295,90.0
1054,52.357347,4.858578099,Entire home/apt,2,1.0,85,100.0
1054,52.35777684,4.859877353,Entire home/apt,2,1.0,80,100.0
1011 BC,52.37309895,4.905993184,Entire home/apt,4,2.0,75,
1011,52.37243723,4.907589448,Private room,2,1.0,75,100.0
1181 CA,52.32254789,4.856137443,Entire home/apt,6,4.0,179,
1016 XR,52.36642258,4.880571063,Entire home/apt,4,1.0,135,90.0
1051 XM,52.38324559,4.875262869,Entire home/apt,3,2.0,99,
1017,52.36094919,4.890262576,Entire home/apt,2,1.0,129,100.0
1013 LA,52.38843137,4.886177359,Entire home/apt,2,1.0,150,
1015DX,52.37683121,4.886367137,Entire home/apt,2,1.0,140,
1016 BT,52.37237816,4.887149088,Entire home/apt,2,1.0,185,
1015 PT,52.37544497,4.878032145,Entire home/apt,2,0.0,120,
1091BE,52.36115164,4.90740913,Entire home/apt,2,1.0,125,90.0
,52.36380065,4.873521247,Entire home/apt,2,1.0,89,90.0
1011 AZ,52.37107774,4.903447753,Entire home/apt,2,1.0,120,90.0
1054,52.35808872,4.858330265,Entire home/apt,4,1.0,120,
1051 GT,52.38340424,4.872990743,Entire home/apt,5,3.0,190,
1013,52.38744274,4.883091487,Entire home/apt,3,1.0,100,80.0
1016,52.37400149,4.879154297,Private room,2,1.0,135,100.0
1019 WL,52.37152519,4.948094194,Entire home/apt,3,2.0,85,100.0
1071,52.35868036,4.875614478,Entire home/apt,3,2.0,190,90.0
1071,52.35777246,4.8747347,Entire home/apt,3,2.0,150,90.0
1074,52.35649183,4.898411563,Entire home/apt,6,2.0,290,90.0
1016,52.3677902,4.882598676,Entire home/apt,2,1.0,95,80.0
1017 JT,52.36604791,4.885184466,Private room,2,1.0,90,90.0
1017,52.36570537,4.88463619,Private room,2,1.0,79,90.0
1017 PE,52.36566896,4.884633594,Private room,2,1.0,79,90.0
1016 RV,52.37045551,4.877056599,Entire home/apt,2,0.0,125,80.0
1064 AD,52.37387906,4.833265864,Private room,2,1.0,70,90.0
1054,52.35930675,4.86110843,Entire home/apt,2,1.0,69,80.0
1016 PM,52.37184058,4.881707856,Entire home/apt,3,1.0,80,80.0
1053,52.36335308,4.861869019,Entire home/apt,2,1.0,108,80.0
1013,52.38383628,4.884855797,Entire home/apt,2,1.0,195,90.0
1066,52.35083085,4.816093799,Entire home/apt,4,2.0,140,90.0
1053,52.36855263,4.864931634,Private room,1,1.0,65,90.0
1077,52.3434889,4.867347962,Private room,2,1.0,92,
1077,52.34378398,4.869511927,Private room,2,1.0,92,90.0
,52.37858838,4.857216294,Entire home/apt,3,1.0,110,90.0
1054,52.36397157,4.876509427,Entire home/apt,2,1.0,100,100.0
1072,52.3574011,4.889464096,Private room,2,1.0,90,80.0
1072,52.35604016,4.888672948,Private room,2,1.0,90,
1072 XW,52.35581035,4.890894115,Private room,2,1.0,80,100.0
1072 XW,52.35795235,4.889189782,Private room,2,1.0,85,100.0
1072 HD,52.35155512,4.891992809,Entire home/apt,4,2.0,180,80.0
1108 EM,52.30980083,4.980210367,Private room,2,1.0,60,80.0
1031 XX,52.39273888,4.908546618,Entire home/apt,2,1.0,85,90.0
1013,52.39042755,4.875262454,Entire home/apt,3,2.0,95,90.0
1055 TE,52.37802494,4.856887384,Entire home/apt,2,1.0,119,90.0
1016,52.37132144,4.884561688,Entire home/apt,2,1.0,125,90.0
1087,52.36169783,4.9925626,Entire home/apt,5,2.0,140,90.0
1053,52.36888344,4.869548331,Entire home/apt,2,1.0,59,90.0
1077,52.34885698,4.868092382,Entire home/apt,2,1.0,85,100.0
1015,52.3759049,4.876475753,Entire home/apt,4,1.0,200,90.0
1019,52.37768896,4.942461339,Private room,2,1.0,50,
1091,52.35840466,4.914175695,Entire home/apt,2,2.0,100,80.0
1055,52.38184772,4.855730321,Entire home/apt,2,1.0,89,80.0
1018XW,52.36310183,4.907404439,Entire home/apt,2,0.0,79,90.0
1072 PJ,52.35098663,4.894314742,Entire home/apt,2,1.0,150,90.0
1053,52.3659995,4.863530499,Private room,1,1.0,55,100.0
1013,52.38652151,4.878381034,Private room,2,1.0,58,90.0
1051,52.38463845,4.869836577,Entire home/apt,4,0.0,85,90.0
1078,52.34844836,4.904838562,Private room,2,1.0,70,100.0
1093,52.36125779,4.92679505,Entire home/apt,4,1.0,90,90.0
1051,52.37880121,4.870802452,Entire home/apt,2,1.0,125,
1093,52.36097457,4.92761146,Entire home/apt,2,1.0,79,90.0
1098,52.35765917,4.942128988,Entire home/apt,5,3.0,168,80.0
